id,question,chance,tag
2579,Расскажи о себе,93,Нет
2580,Какие задачи выполнял на прошлом месте работы,66,Нет
2584,Для чего нужен data class,60,Нет
2582,Какие знаешь методы жизненного цикла Activity и как они отрабатывают,60,Нет
7317,Чем больше всего гордишься как android разработчик,53,Нет
2581,Назови основные компоненты Аndroid-приложения,53,Нет
2620,Какой опыт в Android-разработке,46,Нет
2588,В чем преимущество Kotlin для разработки под android,46,Нет
2587,Почему именно android разработка,46,Нет
2596,"Для чего нужны фрагменты, если есть Activity",40,Нет
2586,Для чего нужны сервисы,40,Нет
2585,"Знаешь, чем MVVM отличается от MVP",40,Нет
2595,Зачем нужен класс nothing,33,Нет
2591,Расскажи подробно про корутины,33,Нет
2592,"Какого размера была команда, в которой работал",33,Нет
2598,Что такое inline функции,33,Нет
2643,Как работает hashmap,33,Нет
2763,Есть ли опыт написания и публикации собственных библиотек,33,Нет
2589,Для чего нужен Manifest,33,Нет
2604,Какие проекты делал под android,33,Нет
2594,"Расскажи про типы any, unit, nothing в Kotlin",33,Нет
2593,Что такое сборщик мусора,26,Нет
2665,Расскажи про свое знакомство с Kotlin,26,Нет
2669,Чем data class отличается от обычного класса,26,Нет
2660,Какой имеешь опыт в Kotlin,26,Нет
2603,Работал с Jetpack Compose,26,Нет
2601,Что такое BroadcastReceiver,26,Нет
2606,В чем разница между linked list и array list,26,Нет
2597,Расскажи подробно про RecyclerView,26,Нет
2613,Что такое принципы SOLID,26,Нет
2609,Когда-нибудь писал Custom View,26,Нет
2600,Как передавать данные из одного фрагмента в другой,26,Нет
2602,Какой имеешь опыт с корутинами,26,Нет
2666,Что такое sealed классы и зачем они нужны,26,Нет
2614,Что можешь сказать про чистую архитектуру,26,Нет
2599,Для чего нужны inline функции,26,Нет
2622,Расскажи про ключевое слово Object в Kotlin,26,Нет
2873,Что такое Activity и для чего это используется,26,Нет
2616,Какой стек технологий используешь,26,Нет
2612,Как определяется приоритет приложений перед системой,26,Нет
2668,В каком потоке запускается самый обычный сервис,20,Нет
2607,Расскажи об extension,20,Нет
2656,Знаком с sealed классами В чем их особенность,20,Нет
2608,Знаешь жизненные циклы View,20,Нет
2615,На каких языках пишешь,20,Нет
2645,Что такое interface и чем он отличается от абстрактного класса,20,Нет
2611,Чем launch отличается от async/await,20,Нет
2610,Что для такое качественный код,20,Нет
2617,Расскажи о самой крупной ошибке за твою карьеру,20,Нет
2641,Какие есть способы работы с многопоточностью,20,Нет
2642,"Какие архитектурные паттерны, которые используются в android фреймворке знаешь",20,Нет
2619,Какие есть особенности использования nothing в дженериках,20,Нет
2605,Где искал информацию для обучения,20,Нет
2651,Что такое Garbage Collector Roots,20,Нет
2618,"Расскажи, про какие структуры данных знаешь",20,Нет
6214,Что такое object / companion object,20,Нет
4583,Что означает в Android-разработке подход Single Activity,20,Нет
4221,Расскажи как существуют и к чему привязаны фрагменты в Activity,20,Нет
3604,Чем жизненный цикл фрагмента отличается от Activity,20,Нет
4474,У фрагментов жизненый цикл связан с Activity или проходит сам по себе,20,Нет
2841,Расскажи data классы и sealed классы,20,Нет
2827,Восьмая версия Java поддерживается всеми версиями Android,20,Нет
2624,Расскажи какие есть виды сервисов,20,Нет
2623,Какие сущности описываются в Manifest,20,Нет
2676,Зачем нужны методы equals и hashcode,20,Нет
3541,Какой опыт с Java и Kotlin,20,Нет
2621,"Бывают ли случаи, когда нельзя использовать inline",20,Нет
2671,Какую базу данных используешь в своих проектах,13,Нет
2670,Работал ли с Kotlin Multiplatform,13,Нет
2672,В чем отличие между job и supervisor job,13,Нет
2667,Какие есть ограничения у sealed классов,13,Нет
2673,Что является сущностью корутин контекста,13,Нет
2661,Какой жизненный цикл у фрагмента,13,Нет
2662,Как передать данные с одной Activity на другую,13,Нет
2658,Как запустить асинхронные операции в чистом Android,13,Нет
2657,Как ты работаешь с асинхронными операциями,13,Нет
2659,Знаешь минусы ListView по сравнению с RecyclerView,13,Нет
2663,Что такое serializable и parselable объекты,13,Нет
2654,"Почему используют PendingIntent, а не Intent",13,Нет
2791,Какие паттерны для мобильной разработки нравятся тебе лично,13,Нет
2655,"Как по Activity понять, что она была уничтожена",13,Нет
4607,Были ли проекты на чистой архитектуре,13,Нет
2790,Какие паттерны традиционно используются в мобильныой разработке,13,Нет
2653,Расскажи про плюсы и минусы MVI и зачем он нужен,13,Нет
2664,Зачем нужен crossinline,13,Нет
2674,Что знаешь о диспатчерах,13,Нет
2648,Какие базы данных можно использовать в Android,13,Нет
2647,Расскажи про Content Provider,13,Нет
2649,С какими библиотеками Jetpack работал,13,Нет
2644,Какие коллекции в Kotlin знаешь и с какими работал,13,Нет
